purchase_cohort_month,cohort_order_month_number,customers,orders,items,avg_ticket,delayed_rate
2016-09,0,3,3,6,59.125,0.5
2016-10,0,305,308,363,156.49818181818182,0.008264462809917356
2016-12,0,1,1,1,19.62,0.0
2017-01,0,754,788,954,143.78288259958072,0.027253668763102725
2017-01,1,1,1,1,19.62,0.0
2017-02,0,1705,1730,1948,146.87360882956878,0.03182751540041068
2017-02,1,3,3,3,56.943333333333335,0.0
2017-03,0,2595,2635,2994,144.08743152972613,0.05444221776887107
2017-03,1,4,4,4,134.03,0.0
2017-03,2,2,2,2,57.35000000000001,0.0
2017-04,0,2339,2370,2657,154.25503951825368,0.07113285660519383
2017-04,1,13,14,19,94.4721052631579,0.21052631578947367
2017-04,2,5,5,6,95.105,0.0
2017-04,3,1,1,1,89.7,0.0
2017-04,6,1,1,1,111.3,0.0
2017-05,0,3560,3631,4104,141.60620126705652,0.03679337231968811
2017-05,1,14,15,17,172.76470588235293,0.0
2017-05,2,9,9,10,173.712,0.0
2017-05,3,2,2,2,59.364999999999995,0.0
2017-05,4,3,3,3,82.08333333333333,0.0
2017-06,0,3114,3173,3534,140.62916808149404,0.03678551216751556
2017-06,1,17,18,22,90.08045454545454,0.0
2017-06,2,5,6,6,156.73333333333335,0.0
2017-06,3,10,12,12,153.00833333333335,0.08333333333333333
2017-06,4,7,7,8,143.995,0.0
2017-06,5,1,1,1,69.33,0.0
2017-07,0,3843,3916,4447,129.31742523049246,0.0350798290982685
2017-07,1,15,15,23,173.91521739130437,0.043478260869565216
2017-07,2,17,18,26,117.155,0.07692307692307693
2017-07,3,4,5,5,151.642,0.0
2017-07,4,9,9,10,121.397,0.0
2017-07,5,2,2,2,37.105,0.0
2017-07,6,3,3,5,89.686,0.2
2017-07,9,1,1,1,356.13,0.0
2017-08,0,4149,4228,4829,136.03456823358874,0.03002692068751294
2017-08,1,20,22,25,122.82,0.04
2017-08,2,11,12,18,114.45222222222222,0.16666666666666666
2017-08,3,14,14,17,119.95,0.0
2017-08,4,8,8,10,189.64000000000001,0.0
2017-08,5,4,4,4,358.34749999999997,0.25
2017-08,6,4,4,5,137.784,0.2
2017-08,7,1,1,2,52.584999999999994,0.0
2017-09,0,4090,4162,4737,149.57522482583914,0.04939835338822039
2017-09,1,28,29,37,136.66945945945946,0.10810810810810811
2017-09,2,14,14,16,114.04625,0.0
2017-09,3,12,12,13,110.24,0.07692307692307693
2017-09,4,11,11,11,115.52636363636363,0.18181818181818182
2017-09,5,6,6,7,172.61999999999998,0.0
2017-09,6,4,4,5,137.83599999999998,0.4
2017-09,7,3,3,3,91.43333333333334,0.0
2017-09,8,1,1,1,47.05,0.0
2017-09,11,1,1,1,56.78,0.0
2017-10,0,4412,4474,5198,145.3941823778376,0.05040400153905348
2017-10,1,28,28,35,104.55228571428572,0.02857142857142857
2017-10,2,14,16,23,96.91434782608694,0.0
2017-10,3,9,9,11,105.12000000000002,0.09090909090909091
2017-10,4,8,8,11,124.99000000000001,0.0
2017-10,5,12,14,17,99.88294117647058,0.0
2017-10,6,8,9,17,122.57647058823531,0.0
2017-10,7,8,8,8,110.92750000000001,0.0
2017-10,8,2,2,2,232.305,0.0
2017-11,0,7217,7320,8508,136.47282322519982,0.13563704748472027
2017-11,1,31,33,39,113.93820512820513,0.07692307692307693
2017-11,2,22,22,25,127.30279999999999,0.04
2017-11,3,11,11,13,78.0476923076923,0.07692307692307693
2017-11,4,11,13,16,76.2725,0.125
2017-11,5,12,12,13,125.21923076923076,0.07692307692307693
2017-11,6,15,17,18,168.00166666666667,0.2222222222222222
2017-11,7,7,7,10,109.65500000000002,0.2
2017-11,8,9,9,11,131.59,0.36363636363636365
2017-11,9,3,3,6,64.22500000000001,0.0
2017-11,10,3,3,3,142.35,0.0
2017-11,13,1,1,3,54.51,0.0
2017-12,0,5442,5503,6162,137.03314508276534,0.08000649139889646
2017-12,1,40,42,53,152.42018867924529,0.07547169811320754
2017-12,2,11,11,14,117.38642857142858,0.14285714285714285
2017-12,3,12,16,20,89.666,0.05
2017-12,4,15,15,16,116.15125,0.125
2017-12,5,8,8,9,207.29444444444442,0.2222222222222222
2017-12,6,12,12,17,99.41941176470588,0.11764705882352941
2017-12,7,5,5,5,121.604,0.0
2017-12,8,7,7,7,137.71285714285713,0.0
2017-12,9,2,2,2,118.98,0.0
2017-12,10,2,2,2,171.61,0.0
2017-12,11,1,1,1,66.6,0.0
2018-01,0,6983,7080,8055,134.83271011793917,0.06443202979515829
2018-01,1,12,12,12,199.82666666666668,0.25
2018-01,2,28,29,32,128.7365625,0.0625
2018-01,3,4,4,4,144.60500000000002,0.0
2018-01,4,18,18,22,146.645,0.0
2018-01,5,22,24,24,121.3325,0.08333333333333333
2018-01,6,12,12,13,196.39923076923077,0.0
2018-01,7,7,7,7,117.55142857142857,0.0
2018-01,8,9,9,12,135.29333333333332,0.0
2018-01,9,4,4,4,124.95500000000001,0.0
2018-01,10,10,10,11,100.28181818181817,0.0
2018-01,11,5,5,5,90.87800000000001,0.0
2018-01,12,5,5,6,92.075,0.0
2018-01,15,1,1,1,381.0,0.0
2018-02,0,6422,6571,7514,129.16489619377163,0.15504391801969655
2018-02,1,24,24,30,123.79533333333333,0.1
2018-02,2,15,16,20,96.139,0.25
2018-02,3,13,13,17,95.45411764705882,0.0
2018-02,4,10,11,18,82.60777777777778,0.16666666666666666
2018-02,5,9,13,18,114.21833333333332,0.05555555555555555
2018-02,6,12,12,14,133.19357142857143,0.07142857142857142
2018-02,7,4,4,4,62.59,0.5
2018-02,8,4,4,4,86.565,0.0
2018-02,9,10,12,16,87.28875,0.0
2018-02,10,6,6,8,86.57000000000001,0.5
2018-02,11,3,3,4,95.07500000000002,0.0
2018-02,12,2,2,2,139.62,0.0
2018-02,13,3,3,3,117.21666666666665,0.0
2018-03,0,6947,7035,8015,141.51014223331254,0.20137242669993763
2018-03,1,25,25,30,116.34733333333334,0.16666666666666666
2018-03,2,26,26,37,104.48135135135135,0.10810810810810811
2018-03,3,19,22,24,100.0625,0.2916666666666667
2018-03,4,14,14,18,133.23999999999998,0.05555555555555555
2018-03,5,9,9,11,128.00272727272727,0.2727272727272727
2018-03,6,9,9,11,97.0309090909091,0.09090909090909091
2018-03,7,11,11,24,81.24291666666666,0.08333333333333333
2018-03,8,7,8,9,45.995555555555555,0.1111111111111111
2018-03,9,7,7,8,71.3125,0.0
2018-03,10,9,9,14,104.21857142857144,0.14285714285714285
2018-03,11,2,2,4,85.7925,0.0
2018-03,12,6,6,6,157.95166666666668,0.16666666666666666
2018-03,13,3,3,3,132.37,0.0
2018-03,14,1,1,2,46.85,0.0
2018-03,17,1,1,1,116.57,0.0
2018-04,0,6709,6762,7754,146.11108847046685,0.046943513025535205
2018-04,1,31,31,36,123.47277777777776,0.1111111111111111
2018-04,2,25,26,39,108.46461538461539,0.02564102564102564
2018-04,3,20,20,28,122.07928571428572,0.0
2018-04,4,14,14,15,130.632,0.06666666666666667
2018-04,5,13,14,16,118.44125,0.0
2018-04,6,10,10,12,97.33083333333333,0.0
2018-04,7,10,10,12,80.44416666666666,0.0
2018-04,8,6,6,9,200.00333333333333,0.0
2018-04,9,10,11,19,109.00578947368422,0.0
2018-04,10,10,10,12,195.70416666666668,0.16666666666666666
2018-04,11,12,12,15,95.89066666666668,0.2
2018-04,12,2,2,2,244.32999999999998,0.0
2018-04,13,3,3,3,79.52666666666666,0.0
2018-04,14,2,2,2,90.83,0.0
2018-04,15,1,1,1,104.61000000000001,0.0
2018-05,0,6604,6656,7693,145.6626660600546,0.079552840244378
2018-05,1,39,39,44,115.68249999999999,0.045454545454545456
2018-05,2,22,25,28,130.93178571428572,0.03571428571428571
2018-05,3,19,19,25,140.744,0.04
2018-05,4,20,20,22,121.05181818181818,0.0
2018-05,5,11,11,12,171.26666666666665,0.25
2018-05,6,8,9,11,103.03272727272726,0.09090909090909091
2018-05,7,16,17,23,106.44260869565217,0.043478260869565216
2018-05,8,12,12,12,101.5,0.08333333333333333
2018-05,9,6,6,7,172.13000000000002,0.0
2018-05,10,8,8,12,96.91833333333334,0.0
2018-05,11,11,11,15,144.404,0.06666666666666667
2018-05,12,9,10,10,117.31400000000001,0.0
2018-05,13,1,1,1,271.64,0.0
2018-05,14,4,4,5,137.482,0.0
2018-05,15,1,1,1,136.79,0.0
2018-05,16,2,2,2,109.67500000000001,0.5
2018-05,19,2,2,2,192.005,0.0
2018-06,0,5934,5968,6836,145.13052808660035,0.013604447045055588
2018-06,1,35,36,47,177.98234042553193,0.0
2018-06,2,21,21,31,119.13677419354838,0.0
2018-06,3,20,21,23,141.94695652173914,0.0
2018-06,4,17,17,28,80.24285714285715,0.0
2018-06,5,11,12,13,122.04923076923077,0.0
2018-06,6,9,9,10,125.87,0.0
2018-06,7,14,14,19,102.98315789473685,0.0
2018-06,8,12,13,13,180.72076923076924,0.07692307692307693
2018-06,9,7,7,11,63.25454545454546,0.0
2018-06,10,10,10,12,121.68,0.0
2018-06,11,11,12,13,97.29615384615384,0.0
2018-06,12,5,5,5,102.68800000000002,0.0
2018-06,13,1,1,1,62.33,0.0
2018-06,14,2,2,2,150.91500000000002,0.0
2018-06,15,6,6,7,102.50714285714285,0.0
2018-06,16,1,1,2,145.84,0.0
2018-06,17,3,3,3,118.14333333333333,0.0
2018-06,20,2,2,2,90.685,0.0
2018-07,0,6054,6114,6894,149.9911169132579,0.04322599361763853
2018-07,1,25,25,30,104.13233333333334,0.03333333333333333
2018-07,2,18,18,25,107.94,0.04
2018-07,3,16,16,22,85.765,0.0
2018-07,4,9,9,10,156.10999999999999,0.0
2018-07,5,14,14,15,203.37066666666666,0.0
2018-07,6,12,12,16,87.09625,0.125
2018-07,7,1,1,2,142.48,0.0
2018-07,8,10,10,10,136.753,0.0
2018-07,9,9,9,16,126.540625,0.0625
2018-07,10,11,11,11,121.54454545454546,0.0
2018-07,11,8,8,8,228.20000000000002,0.0
2018-07,12,5,5,5,281.87600000000003,0.0
2018-07,13,4,4,4,227.4075,0.0
2018-07,14,7,8,11,73.03272727272727,0.0
2018-07,15,2,2,3,90.87666666666667,0.0
2018-07,16,2,2,2,101.94,0.0
2018-07,17,4,5,8,67.02000000000001,0.125
2018-08,0,6238,6274,7045,139.11883463449254,0.10234208658623137
2018-08,1,31,31,34,132.99235294117648,0.14705882352941177
2018-08,2,16,16,21,90.14666666666666,0.19047619047619047
2018-08,3,14,14,18,104.78055555555557,0.16666666666666666
2018-08,4,9,10,10,84.9,0.1
2018-08,5,8,8,9,57.74555555555556,0.0
2018-08,6,13,13,14,123.63214285714287,0.07142857142857142
2018-08,7,16,16,16,102.72375,0.0
2018-08,8,12,12,14,130.625,0.07142857142857142
2018-08,9,4,4,7,96.90142857142857,0.0
2018-08,10,9,9,9,106.71,0.1111111111111111
2018-08,11,3,3,3,108.76666666666667,0.0
2018-08,12,4,4,4,133.215,0.0
2018-08,13,10,10,11,89.25272727272727,0.0
2018-08,14,6,7,7,326.41285714285715,0.14285714285714285
2018-08,15,9,11,15,68.64533333333334,0.06666666666666667
2018-08,16,4,5,5,205.106,0.0
2018-08,17,4,4,5,94.57000000000001,0.0
2018-08,19,1,1,1,50.93,0.0
2018-09,1,1,1,1,166.46,0.0
